id,date,direction,departure,arrivale,cost,comfort,mode_id
0.0,2015-01-30 00:00:00,Work-bound,8:25,8:45,5.0,4.0,10.0
1.0,2015-01-30 00:00:00,Home-bound,7:05,7:25,5.0,5.0,10.0
2.0,2015-02-02 00:00:00,Work-bound,8:26,8:46,10.91,5.0,11.0
3.0,2015-02-04 00:00:00,Work-bound,8:29,9:07,6.0,5.0,5.0
4.0,2015-02-05 00:00:00,Work-bound,8:44,9:20,21.56,4.0,4.0
5.0,2015-02-09 00:00:00,Work-bound,8:45,9:09,24.45,4.0,4.0
6.0,2015-02-10 00:00:00,Work-bound,8:29,9:11,2.25,3.0,6.0
7.0,2015-02-11 00:00:00,Work-bound,8:23,9:09,2.25,2.0,6.0
8.0,2015-02-13 00:00:00,Work-bound,8:39,9:30,4.0,4.0,7.0
9.0,2015-02-17 00:00:00,Work-bound,8:27,9:01,4.0,4.0,5.0
10.0,2015-03-02 00:00:00,Work-bound,8:38,8:58,27.78,5.0,11.0
11.0,2015-03-03 00:00:00,Work-bound,8:16,9:02,7.0,4.0,5.0
12.0,2015-03-05 00:00:00,Work-bound,8:12,8:55,4.0,3.0,7.0
13.0,2015-03-06 00:00:00,Work-bound,8:29,8:51,20.25,3.0,4.0
14.0,2015-03-09 00:00:00,Work-bound,8:25,8:44,22.44,5.0,11.0
15.0,2015-03-10 00:00:00,Work-bound,8:49,9:34,2.25,4.0,6.0
16.0,2015-03-11 00:00:00,Work-bound,8:54,9:22,7.0,3.0,5.0
17.0,2015-03-11 00:00:00,Home-bound,6:58,7:24,7.0,2.0,5.0
18.0,2015-03-13 00:00:00,Work-bound,9:00,9:24,7.0,4.0,5.0
19.0,2015-03-16 00:00:00,Work-bound,8:23,8:46,21.74,4.0,4.0
20.0,2015-03-17 00:00:00,Work-bound,8:44,9:05,24.1,4.0,4.0
21.0,2015-03-18 00:00:00,Work-bound,8:38,8:54,7.0,5.0,10.0
22.0,2015-03-20 00:00:00,Work-bound,8:33,8:57,24.0,4.0,4.0
23.0,2015-03-23 00:00:00,Work-bound,9:02,9:34,2.25,4.0,6.0
